,DEPT,GR,CILD,RHOB,NPLS,PE,ILD,SP,DT,Formation,Well name,Log_ILD,Log_CILD
62,300.9,102.16,41.04,2.32,28.38,3.38,24.37,246.4,115.45,Unknown,BAUMGARTNER 1-23 #1,3.193352867637115,3.714547200862514
63,301.4,93.75,41.95,2.32,28.57,3.51,23.84,246.44,114.24,Unknown,BAUMGARTNER 1-23 #1,3.171364842197149,3.7364784329132155
64,301.9,92.21,42.69,2.32,29.63,3.52,23.42,246.67,114.78,Unknown,BAUMGARTNER 1-23 #1,3.1535903581695712,3.7539647007698704
65,302.4,96.39,43.1,2.33,32.78,3.48,23.2,247.17,117.05,Unknown,BAUMGARTNER 1-23 #1,3.1441522786722644,3.763522997109702
66,302.9,100.53,43.3,2.33,34.61,3.42,23.1,247.59,120.01,Unknown,BAUMGARTNER 1-23 #1,3.139832617527748,3.768152635008444
67,303.4,104.91,43.19,2.32,32.9,3.41,23.16,247.53,123.48,Unknown,BAUMGARTNER 1-23 #1,3.1424266527047946,3.7656089869726097
68,303.9,105.97,42.67,2.3,31.84,3.41,23.44,246.97,125.79,Unknown,BAUMGARTNER 1-23 #1,3.154443964708812,3.7534960971999087
69,304.4,104.49,41.95,2.29,32.85,3.4,23.84,246.39,126.34,Unknown,BAUMGARTNER 1-23 #1,3.171364842197149,3.7364784329132155
70,304.9,103.06,40.78,2.29,33.12,3.36,24.52,246.0,126.27,Unknown,BAUMGARTNER 1-23 #1,3.1994891110680106,3.708191765146309
71,305.4,97.69,39.44,2.3,32.78,3.35,25.36,245.58,126.15,Unknown,BAUMGARTNER 1-23 #1,3.233173129569025,3.6747805297344347
72,305.9,93.99,38.24,2.33,33.95,3.34,26.15,245.06,125.39,Unknown,BAUMGARTNER 1-23 #1,3.263849190510932,3.643882088183201
73,306.4,96.15,37.52,2.33,35.43,3.3,26.66,244.42,122.81,Unknown,BAUMGARTNER 1-23 #1,3.2831643147505627,3.624874124138024
74,306.9,98.85,37.32,2.32,33.77,3.31,26.79,244.25,119.57,Unknown,BAUMGARTNER 1-23 #1,3.2880286835565173,3.619529375979143
75,307.4,101.44,37.41,2.3,31.55,3.44,26.73,244.39,118.09,Unknown,BAUMGARTNER 1-23 #1,3.2857865301508276,3.6219380483600547
76,307.9,103.75,37.73,2.3,30.24,3.49,26.5,244.86,117.16,Unknown,BAUMGARTNER 1-23 #1,3.2771447329921766,3.6304555339762192
77,308.4,105.39,38.13,2.31,29.54,3.39,26.23,245.74,116.42,Unknown,BAUMGARTNER 1-23 #1,3.2669037938787824,3.6410013738694724
78,308.9,103.77,38.4,2.32,29.77,3.27,26.04,246.68,116.14,Unknown,BAUMGARTNER 1-23 #1,3.2596338173403683,3.648057459593681
79,309.4,100.92,38.72,2.33,29.93,3.2,25.83,247.27,116.29,Unknown,BAUMGARTNER 1-23 #1,3.251536607107749,3.656356262408376
80,309.9,104.48,39.32,2.34,28.76,3.2,25.43,247.35,117.19,Unknown,BAUMGARTNER 1-23 #1,3.2359295794340284,3.671733295278966
81,310.4,107.44,40.19,2.35,28.86,3.2,24.88,247.49,118.82,Unknown,BAUMGARTNER 1-23 #1,3.2140642678709788,3.6936182084611096
